,Titulos,Año,Duracion,Ranking
1,Tablas de IMDb,1994,2h 22m,"9,3"
2,Cadena perpetua,1972,2h 55m,"9,2"
3,El padrino,2008,2h 32m,"9,0"
4,El caballero oscuro,1974,3h 22m,"9,0"
5,El padrino parte II,1957,1h 36m,"9,0"
6,12 hombres sin piedad,2003,3h 21m,"9,0"
7,El señor de los anillos: El retorno del rey,1993,3h 15m,"9,0"
8,La lista de Schindler,1994,2h 34m,"8,9"
9,Pulp Fiction,2001,2h 58m,"8,9"
10,El señor de los anillos: La comunidad del anillo,1966,3h 2m,"8,8"
11,"El bueno, el feo y el malo",1994,2h 22m,"8,8"
12,Forrest Gump,2002,2h 59m,"8,8"
13,El señor de los anillos: Las dos torres,1999,2h 19m,"8,8"
14,El club de la lucha,2010,2h 28m,"8,8"
15,Origen,1980,2h 4m,"8,7"
16,El imperio contraataca,1999,2h 16m,"8,7"
17,Matrix,1990,2h 25m,"8,7"
18,Uno de los nuestros,1975,2h 13m,"8,7"
19,Alguien voló sobre el nido del cuco,2014,2h 49m,"8,7"
20,Interstellar,1995,2h 7m,"8,6"
21,Seven,1946,2h 10m,"8,6"
22,¡Qué bello es vivir!,1954,3h 27m,"8,6"
23,Los siete samuráis,1991,1h 58m,"8,6"
24,El silencio de los corderos,1998,2h 49m,"8,6"
25,Salvar al soldado Ryan,2002,2h 10m,"8,6"
26,Ciudad de Dios,1999,3h 9m,"8,6"
27,La milla verde,1997,1h 56m,"8,6"
28,La vida es bella,1991,2h 17m,"8,6"
29,Terminator 2: El juicio final,1977,2h 1m,"8,6"
30,La guerra de las galaxias,1985,1h 56m,"8,5"
31,Regreso al futuro,2001,2h 4m,"8,6"
32,El viaje de Chihiro,2002,2h 30m,"8,5"
33,El pianista,2019,2h 12m,"8,5"
34,Parásitos,2000,2h 35m,"8,5"
35,Gladiator (El gladiador),1960,1h 49m,"8,5"
36,Psicosis,1994,1h 28m,"8,5"
37,El rey león,2006,2h 31m,"8,5"
38,Infiltrados,1988,1h 28m,"8,5"
39,La tumba de las luciérnagas,2014,1h 46m,"8,5"
40,Whiplash,2023,2h 20m,"8,6"
41,Spider-Man: Cruzando el multiverso,1998,1h 59m,"8,5"
42,American History X,2006,2h 10m,"8,5"
43,El truco final (El prestigio),1994,1h 50m,"8,5"
44,El profesional (Léon),1962,2h 13m,"8,6"
45,Harakiri,1942,1h 42m,"8,5"
46,Casablanca,1995,1h 46m,"8,5"
47,Sospechosos habituales,2011,1h 52m,"8,5"
48,Intocable,1988,2h 54m,"8,5"
49,Cinema Paradiso,2024,2h 46m,"8,5"
50,Dune: Parte dos,1936,1h 27m,"8,5"
51,Tiempos modernos,1979,1h 57m,"8,5"
52,"Alien, el octavo pasajero",1954,1h 52m,"8,5"
53,La ventana indiscreta,1968,2h 46m,"8,5"
54,Hasta que llegó su hora,2012,2h 45m,"8,5"
55,Django desencadenado,1931,1h 27m,"8,5"
56,Luces de la ciudad,1979,2h 27m,"8,4"
57,Apocalypse Now,2000,1h 53m,"8,4"
58,Memento,2008,1h 38m,"8,4"
